Delta,ReturnMin,DenMISELogLast,ReturnLastEpisode,LQGmu1_actor,TimestepsSoFar,LQGmu1_higher,IWLastEpisode,ReturnAbsMax,IWMean,IWFirstEpisode,Bound,IWMin,Iteration,IWMax,Regret/t,ReturnStepMax,Regret,ReturnMax,LQGsigma_higher,TimeElapsed,DenMISEMeanLog,DenMISELogFirst,ReturnMean
1.1101664e-07,,-0.83088195,0.73593277,0.89790326,1480,1.0,2.2619637e-10,0.922595,1.0439678,5.149207e-13,2.903414,,74,16.407719,0.28523827,0.9671884,21.107635,0.922595,0.14999999,49.41477942466736,-0.8670386,-0.7021884,0.67988175
1.0807592e-07,,-1.1823326,0.1015202,-0.84450907,1500,-0.85858583,1.4539435e-29,0.922595,1.096272,0.000110852685,2.88963,,75,4.5451155,0.29294974,0.9671884,21.971233,0.922595,0.14999999,50.30567288398743,-0.871603,-0.7156114,0.6721703
1.0525054e-07,,-0.4929074,0.9188359,0.42715922,1520,0.3939394,6.8649306e-15,0.922595,1.1245085,0.0058187665,2.8697755,,76,7.4690046,0.2897042,0.9671884,22.017517,0.922595,0.14999999,51.12222146987915,-0.86558294,-0.72885513,0.6754158
1.02534514e-07,,-0.96999735,0.3969572,-0.7716754,1540,-1.0,1.5456517e-19,0.922595,1.0627782,9.123442e-07,2.847424,,77,7.312132,0.29332054,0.9671884,22.585678,0.922595,0.14999999,51.93845772743225,-0.86573833,-0.7418507,0.6717995
9.9922275e-08,,-0.5073262,0.92133856,0.55404246,1560,0.67676765,2.497457e-20,0.922595,1.1092838,9.382686e-07,2.846942,,78,8.250536,0.29012126,0.9671884,22.629456,0.922595,0.14999999,52.754380226135254,-0.86066145,-0.75475407,0.67499876
9.74086e-08,,-0.98960495,0.33799055,-0.5659427,1580,-0.7373737,5.7425605e-16,0.922595,1.0959445,0.0036025532,2.8460727,,79,4.5417113,0.29438722,0.9671884,23.256592,0.922595,0.14999999,53.57307767868042,-0.8613345,-0.76749307,0.6707328
9.49886e-08,,-0.6093209,0.92229134,-0.014797032,1600,-0.21212122,0.30285847,0.922595,0.970119,5.4797964,2.8457117,,80,5.4797964,0.29124272,0.9671884,23.29942,0.922595,0.14999999,54.39326214790344,-0.85720617,-0.78002626,0.6738773
9.265769e-08,,-0.9086484,0.66587985,0.020622358,1620,0.030303031,6.3068066,0.922595,0.82838017,2.4292812,2.8357139,,81,6.990924,0.29134142,0.9671884,23.598656,0.922595,0.14999999,55.210708141326904,-0.8584254,-0.72619534,0.6737786
9.041153e-08,,-0.8788266,0.4905538,-0.49582893,1640,-0.5151515,0.010867674,0.922595,0.93062663,0.335013,2.8282828,,82,5.085448,0.29357588,0.9671884,24.07322,0.922595,0.14999999,56.03079342842102,-0.8609745,-0.7089153,0.67154413
8.8246054e-08,,-0.60359615,0.921775,-0.67997676,1660,-0.5959596,3.8921988,0.922595,0.98255736,0.08199534,2.7687278,,83,4.685946,0.29056102,0.9671884,24.11657,0.922595,0.14999999,56.852378606796265,-0.85884535,-0.7169594,0.674559
8.6157456e-08,,-0.50305444,0.92119175,0.23290989,1680,0.25252524,1.7831072e-08,0.922595,0.9202021,0.122267924,2.7613707,,84,7.4576416,0.28762496,0.9671884,24.1605,0.922595,0.14999999,57.67928171157837,-0.8549579,-0.7279482,0.67749506
8.4142165e-08,,-0.960256,0.45768568,-0.7055276,1700,-0.8181818,1.511819e-10,0.922595,1.0927067,0.00038244197,2.7549076,,85,4.369016,0.29021096,0.9671884,24.66793,0.922595,0.14999999,58.507482051849365,-0.85736495,-0.73832816,0.67490906
8.219674e-08,,-0.48188525,0.920753,-0.38898194,1720,-0.3939394,0.49786466,0.922595,0.961592,1.6933038,2.7361016,,86,4.962414,0.28735226,0.9671884,24.712296,0.922595,0.14999999,59.327078342437744,-0.85209364,-0.75001967,0.67776775
8.031802e-08,,-0.5802038,0.9169678,0.5367543,1740,0.5151515,6.130943e-08,0.922595,1.2423472,0.0002135293,2.7352777,,87,7.6520505,0.28460282,0.9671884,24.760445,0.922595,0.14999999,60.15310573577881,-0.8495705,-0.7420823,0.6805172
7.850298e-08,,-0.99340224,0.3469223,-0.05278164,1760,-0.07070707,0.001972163,0.922595,0.88792396,4.7060733,2.7309976,,88,6.254801,0.28839374,0.9671884,25.378654,0.922595,0.14999999,60.98534035682678,-0.84883916,-0.7535085,0.6767263
7.674878e-08,,-0.80713445,0.7842344,-0.8964206,1780,-0.67676765,0.0010414968,0.922595,1.0665642,0.014829882,2.7171435,,89,4.4809446,0.2871858,0.9671884,25.559536,0.922595,0.14999999,61.82020139694214,-0.8498067,-0.7127109,0.6779342
7.505273e-08,,-0.53539807,0.9174753,-0.78166187,1800,-1.0,3.579289,0.922595,0.99826026,8.959496e-07,2.7118511,,90,7.7536902,0.2845242,0.9671884,25.607178,0.922595,0.14999999,62.65063118934631,-0.8457302,-0.7237176,0.6805958
7.3412274e-08,,-0.46445745,0.9200226,0.86177915,1820,1.0,9.799627e-31,0.922595,0.9652588,5.3197274e-13,2.691946,,91,16.49503,0.28189313,0.9671884,25.652275,0.922595,0.14999999,63.488874673843384,-0.8417839,-0.7347674,0.6832269
