Iteration,ReturnMean,IWMean,TimestepsSoFar,ReturnLastEpisode,LQGsigma_higher,DenMISELogLast,delta,IWFirstEpisode,ReturnAbsMax,LQGmu1_actor,DenMISELogFirst,DenMISEMeanLog,ReturnMax,TimeElapsed,IWMin,Bound,IWLastEpisode,LQGmu1_higher,ReturnStepMax,Regret,Regret/t,IWMax,ReturnMin
83,12.156312,1.1187812,1660,17.35958,0.14999999,-0.69707584,1.7649211e-07,1.3061754e-11,17.40675,-0.8759539,-0.79773855,-0.93284976,17.40675,27.541698694229126,,50.97606,0.019709824,-1.0,19.19513,431.90613,5.2036886,6.3168473,
84,12.2176485,1.0198036,1680,17.30856,0.14999999,-0.48965853,1.7231491e-07,1.11732916e-07,17.40675,-0.70899135,-0.80971473,-0.9264429,17.40675,27.93006920814514,,51.015034,3.7640338,-0.79591835,19.19513,431.95752,5.142352,4.535317,
85,12.278448,0.88161093,1700,17.385612,0.14999999,-0.5519371,1.6828433e-07,0.00015010072,17.40675,-0.21140268,-0.8215492,-0.9219737,17.40675,28.29832625389099,,50.518063,3.4045546,-0.59183675,19.19513,431.932,5.0815525,5.116528,
86,12.329215,0.943807,1720,16.644375,0.14999999,-0.7874374,1.6439348e-07,1.0371605,17.40675,-0.2655587,-0.8332435,-0.9219323,17.40675,28.66965413093567,,51.363216,5.7461615,-0.18367347,19.19513,432.64758,5.0307856,5.851039,
87,12.381571,1.0611713,1740,16.88419,0.14999999,-0.73593765,1.6063603e-07,0.065177456,17.40675,0.36532927,-0.8328164,-0.9206308,17.40675,29.042391777038574,,50.158592,2.0376933e-06,0.5510204,19.19513,433.1234,4.97843,8.160494,
88,12.330524,1.1621494,1760,7.8894963,0.14999999,-1.0162698,1.5700596e-07,4.355382,17.40675,0.20250456,-0.8434962,-0.9213642,17.40675,29.415706634521484,,50.26921,4.72873,0.2244898,19.19513,442.59387,5.029476,6.823685,
89,12.290083,0.86897886,1780,8.731289,0.14999999,-0.8596564,1.5349757e-07,0.31232172,17.40675,-0.30894095,-0.80648863,-0.9191329,17.40675,29.789448976516724,,50.1727,0.04853712,-0.26530612,19.19513,451.22266,5.0699177,5.677658,
90,12.343648,0.90057147,1800,17.110878,0.14999999,-0.71129686,1.5010546e-07,8.764633e-08,17.40675,1.0176332,-0.81415886,-0.91843617,17.40675,30.165891885757446,,49.91437,1.5791967e-16,1.0,19.19513,451.47168,5.0163527,15.539021,
91,12.208004,0.7891914,1820,,0.14999999,-1.4511142,1.4682455e-07,0.012520025,17.40675,-0.5167661,-0.82520866,-0.9258708,17.40675,30.544833183288574,,49.501724,7.411565e-20,-0.42857143,19.19513,468.83167,5.1519966,4.9690742,
92,12.264007,1.0047239,1840,17.360256,0.14999999,-0.65809757,1.4365008e-07,1.14708776e-07,17.40675,-0.94250315,-0.83600014,-0.9253475,17.40675,30.924590349197388,,49.54277,0.9090001,-0.79591835,19.19513,468.83154,5.095994,4.595577,
93,12.31764,1.0940375,1860,17.251886,0.14999999,-0.53730774,1.4057744e-07,1.3718711e-11,17.40675,-1.09105,-0.84681106,-0.9212675,17.40675,31.305753231048584,,49.412247,4.229252,-1.0,19.19513,468.93958,5.0423603,6.562685,
94,12.369506,1.1275132,1880,17.19298,0.14999999,-0.92245436,1.3760231e-07,4.5682845,17.40675,-0.048768498,-0.8575064,-0.9205022,17.40675,31.686367988586426,,49.299614,5.791049e-11,-0.020408163,19.19513,469.10657,4.9904947,5.9974003,
95,12.389092,1.0436108,1900,14.2302475,0.14999999,-0.7502441,1.3472066e-07,0.0004227034,17.40675,0.95399225,-0.8206337,-0.9175646,17.40675,32.06831121444702,,48.668766,3.266629e-06,0.75510204,19.19513,472.23633,4.970908,8.870567,
96,12.268565,1.1016854,1920,0.8184973,0.14999999,-1.3143501,1.3192863e-07,1.3504863e-11,17.40675,-0.9916446,-0.8311006,-0.92154145,17.40675,32.45006799697876,,48.670135,1.4038666e-36,-1.0,19.19513,488.77783,5.0914354,6.3278494,
97,12.319496,0.91266686,1940,17.20891,0.14999999,-0.5582274,1.2922246e-07,0.6035068,17.40675,-0.37605068,-0.8414633,-0.9169547,17.40675,32.83508372306824,,48.505615,9.71385e-06,-0.2244898,19.19513,488.92896,5.0405045,5.539574,
98,12.370005,0.8311115,1960,17.26943,0.14999999,-0.70880085,1.265987e-07,0.0047288034,17.40675,-0.5400614,-0.8455174,-0.9158607,17.40675,33.21958327293396,,48.759464,4.4521475,-0.46938777,19.19513,489.01953,4.989996,5.3574314,
99,12.420722,0.9149602,1980,17.390978,0.14999999,-0.65665805,1.2405411e-07,0.98039097,17.40675,0.5708728,-0.8556215,-0.9150507,17.40675,33.605570793151855,,48.52763,2.5235401e-08,0.3877551,19.19513,488.98853,4.9392786,7.7142086,
