Regret/t,TimestepsSoFar,Regret,IWMean,ReturnMax,IWLastEpisode,IWMin,DenMISELogLast,Iteration,DenMISEMeanLog,ReturnStepMax,Bound,LQGmu1_actor,IWFirstEpisode,ReturnMean,delta,ReturnMin,IWMax,ReturnAbsMax,ReturnLastEpisode,LQGmu1_higher,DenMISELogFirst,LQGsigma_higher,TimeElapsed
4.341196,1660,360.3192,1.1416588,17.425562,2.891559e-12,,-1.1310285,83,-0.7958176,19.213976,52.292313,-0.28716192,1.5763361,13.018805,1.7649211e-07,,4.229848,17.425562,5.9888744,-0.5510204,-0.6518179,0.14999999,38.25612139701843
4.292609,1680,360.5791,0.98237485,17.425562,5.2595005,,-0.6898436,84,-0.7930277,19.213976,51.935555,-0.36098114,5.043936,13.067391,1.7231491e-07,,5.2768464,17.425562,17.100164,-0.30612245,-0.64498025,0.14999999,38.76353883743286
4.242713,1700,360.6306,0.8836918,17.425562,0.0005313465,,-0.55605894,85,-0.7906415,19.213976,51.137016,-0.8736954,0.00017232799,13.117288,1.6828433e-07,,8.300801,17.425562,17.308632,-1.0,-0.59850156,0.14999999,39.27171850204468
4.193959,1720,360.68054,1.0852642,17.425562,0.051239476,,-0.45358112,86,-0.7882816,19.213976,51.11533,-0.35143033,3.787234,13.166041,1.6439348e-07,,4.461738,17.425562,17.310127,-0.42857143,-0.6101956,0.14999999,39.84310007095337
4.14717,1740,360.80383,0.86730516,17.425562,6.311303e-08,,-0.541643,87,-0.7846334,19.213976,50.891884,0.38691008,2.1671914e-07,13.212831,1.6063603e-07,,8.489449,17.425562,17.236612,0.5510204,-0.5786609,0.14999999,40.352447271347046
4.209342,1760,370.42212,0.6192215,17.425562,0.035773963,,-1.0040175,88,-0.78888184,19.213976,50.885372,-0.26198322,1.652091,13.150659,1.5700596e-07,,6.8229694,17.425562,7.741692,-0.10204082,-0.5900896,0.14999999,40.86498403549194
4.1656923,1780,370.74658,1.2203232,17.425562,0.009088551,,-0.65633947,89,-0.7917405,19.213976,50.88159,-0.7753794,0.0317646,13.194308,1.5349757e-07,,4.0407667,17.425562,17.035484,-0.79591835,-0.5827894,0.14999999,41.38136863708496
4.119441,1800,370.74963,1.0785712,17.425562,0.06516915,,-0.37019148,90,-0.7847914,19.213976,50.750175,-0.49480855,4.744251,13.24056,1.5010546e-07,,4.744251,17.425562,17.35694,-0.3469388,-0.5936059,0.14999999,41.899399518966675
4.0742435,1820,370.7561,1.1793152,17.425562,2.713145,,-0.44217393,91,-0.78033984,19.213976,50.468964,-0.67424196,0.53486013,13.285757,1.4682455e-07,,3.9394996,17.425562,17.353464,-0.63265306,-0.5532842,0.14999999,42.41957926750183
4.02964,1840,370.72693,1.188675,17.425562,3.3392532e-27,,-0.3485835,92,-0.7738239,19.213976,50.046547,1.0038998,6.664533e-17,13.33036,1.4365008e-07,,16.822105,17.425562,17.38933,1.0,-0.55835295,0.14999999,42.89923095703125
4.1729774,1860,388.0869,1.0108072,17.425562,1.5395677e-05,,-1.43995,93,-0.77966917,19.213976,49.95542,0.41475135,0.006300416,13.187023,1.4057744e-07,,7.721136,17.425562,,0.2244898,-0.56916386,0.14999999,43.379172801971436
4.2330685,1880,397.90845,1.221933,17.425562,5.3761117e-14,,-1.039182,94,-0.78258854,19.213976,49.897957,-0.7673526,0.03166951,13.126932,1.3760231e-07,,3.9973164,17.425562,7.5384827,-0.79591835,-0.57979137,0.14999999,43.82819938659668
4.1884003,1900,397.89807,1.1238307,17.425562,1.3374798,,-0.3525973,95,-0.7758879,19.213976,49.502857,-0.84946465,1.4818954,13.1716,1.3472066e-07,,4.048698,17.425562,17.370367,-0.5510204,-0.59003663,0.14999999,44.279481649398804
4.1452665,1920,397.94556,1.1965714,17.425562,4.06412,,-0.42761692,96,-0.77107745,19.213976,49.475746,-0.97208744,0.012964233,13.214734,1.3192863e-07,,4.1060667,17.425562,17.312408,-0.8367347,-0.5850295,0.14999999,44.579010009765625
4.104018,1940,398.08972,0.891103,17.425562,5.102361,,-0.6688355,97,-0.76814574,19.213976,49.209236,-1.0190387,0.00017176979,13.255982,1.2922246e-07,,8.377687,17.425562,17.215849,-1.0,-0.5952572,0.14999999,44.8619019985199
4.063816,1960,398.2539,1.0968535,17.425562,3.4998403e-20,,-0.79117024,98,-0.76964444,19.213976,49.081505,0.6057852,1.8368806e-05,13.296185,1.265987e-07,,7.9331803,17.425562,17.195852,0.42857143,-0.60551196,0.14999999,45.340845584869385
4.139904,1980,409.85046,0.792477,17.425562,6.6538997,,-1.1786299,99,-0.77307963,19.213976,48.87647,0.853787,2.2203002e-10,13.220097,1.2405411e-07,,9.11224,17.425562,5.763467,0.71428573,-0.6156641,0.14999999,45.7356219291687
4.247427,2000,424.74268,0.83583117,17.425562,5.6892636e-11,,-1.2693175,100,-0.7802769,19.213976,48.884277,-0.24496664,4.0412297,13.112574,1.2158542e-07,,5.9738064,17.425562,2.4677958,-0.2244898,-0.6257145,0.14999999,46.12897753715515
