IWLastEpisode,IWMin,ReturnMax,IWMean,IWFirstEpisode,TimestepsSoFar,LQGsigma_higher,DenMISELogFirst,DenMISELogLast,ReturnStepMax,IWMax,TimeElapsed,ReturnAbsMax,Bound,LQGmu1_actor,ReturnMin,Iteration,LQGmu1_higher,MISE,DenMISEMeanLog,ReturnLastEpisode,ReturnMean
1.0316159,,17.336594,1.0157099,0.5594324,1640,0.11,0.1483652,1.2120695,19.122255,1.4512384,33.72590088844299,17.336594,16.617483,-0.17906973,,82,-0.21212122,16.617483,0.8352785,16.709291,15.963323
0.20801109,,17.336594,1.0050683,0.56241775,1660,0.11,0.14304298,-1.8634661,19.122255,1.4433912,34.06903576850891,17.336594,16.42163,0.12591958,,83,-0.21212122,16.42163,0.802946,8.960292,15.878949
0.91867477,,17.336594,1.0032008,0.5653629,1680,0.11,0.13782004,1.1188278,19.122255,1.4358122,34.39385008811951,17.336594,16.388676,-0.13366851,,84,-0.21212122,16.388676,0.8067615,16.417112,15.885356
2.2647386,,17.336594,1.0014306,0.39743096,1700,0.11,0.1326935,-1.9009621,19.122255,2.2647386,34.71806788444519,17.336594,16.549759,-0.4719031,,85,-0.23232323,16.549759,0.7749386,17.324717,15.902289
1.0644315,,17.336594,1.0002168,0.4002353,1720,0.11,0.12566222,1.1989241,19.122255,2.2319152,35.05749273300171,17.336594,16.529522,-0.20677504,,86,-0.23232323,16.529522,0.7798738,16.839678,15.913188
1.4847279,,17.336594,1.003946,0.4030136,1740,0.11,0.118744515,0.6344436,19.122255,2.200753,35.46976590156555,17.336594,16.598448,-0.31144089,,87,-0.23232323,16.598448,0.778194,17.183542,15.927791
1.5457892,,17.336594,1.0082785,0.40576628,1760,0.11,0.11193744,0.4737733,19.122255,2.1711278,35.864651679992676,17.336594,16.67878,-0.32809633,,88,-0.23232323,16.67878,0.77476877,17.247175,15.942783
0.6019767,,17.336594,1.0018867,0.4084937,1780,0.11,0.105238244,0.75234747,19.122255,2.1429293,36.208861351013184,17.336594,16.558405,-0.0734103,,89,-0.23232323,16.558405,0.7745989,14.934353,15.931454
1.1195115,,17.336594,1.0014983,0.4111962,1800,0.11,0.09864434,1.1714681,19.122255,2.1160572,36.54180884361267,17.336594,16.552979,-0.22251424,,90,-0.23232323,16.552979,0.77901995,16.906013,15.942283
0.55316484,,17.336594,0.9949542,0.41387412,1820,0.11,0.09215289,0.59446746,19.122255,2.0904195,36.87918305397034,17.336594,16.427973,-0.05591339,,91,-0.23232323,16.427973,0.77699924,14.350424,15.924788
1.480526,,17.336594,0.9987325,0.4165278,1840,0.11,0.085761614,0.57560056,19.122255,2.0659332,37.20635461807251,17.336594,16.497847,-0.32036975,,92,-0.23232323,16.497847,0.7747474,17.199194,15.938642
1.232431,,17.336594,0.999746,0.41915753,1860,0.11,0.07946795,1.0579883,19.122255,2.0425224,37.51583433151245,17.336594,16.517897,-0.25505865,,93,-0.23232323,16.517897,0.77777123,17.03376,15.9504175
0.8437965,,17.336594,0.99663514,0.4217637,1880,0.11,0.073269606,1.1361632,19.122255,2.020118,37.86246037483215,17.336594,16.46291,-0.14404632,,94,-0.23232323,16.46291,0.78157353,16.5031,15.956296
1.4930434,,17.336594,1.0004994,0.4243466,1900,0.11,0.06716425,0.49281037,19.122255,1.9986563,38.192036867141724,17.336594,16.534164,-0.3300574,,95,-0.23232323,16.534164,0.7784913,17.202322,15.969412
1.5072433,,17.336594,1.0044084,0.42690644,1920,0.11,0.061149903,0.4314404,19.122255,1.978079,38.52640962600708,17.336594,16.60671,-0.336285,,96,-0.23232323,16.60671,0.7748742,17.24006,15.982648
0.78647304,,17.336594,1.000781,0.4294437,1940,0.11,0.05522416,1.0542372,19.122255,1.9583325,38.86642074584961,17.336594,16.53999,-0.12518798,,97,-0.23232323,16.53999,0.7777922,16.098883,15.983847
1.0828676,,17.336594,1.0003245,0.43195853,1960,0.11,0.049385194,1.1960249,19.122255,1.9393677,39.21566557884216,17.336594,16.532017,-0.21479301,,98,-0.23232323,16.532017,0.7820612,16.773169,15.991901
1.1708176,,17.336594,1.0008075,0.43445134,1980,0.11,0.04363085,1.127045,19.122255,1.921139,39.74926280975342,17.336594,16.540478,-0.24164292,,99,-0.23232323,16.540478,0.7855428,16.825548,16.00032
1.2795994,,17.336594,1.0023973,0.43692234,2000,0.11,0.03795936,0.96468,19.122255,1.9036041,40.170082569122314,17.336594,16.57145,-0.27552098,,100,-0.23232323,16.57145,0.7873361,17.127003,16.01159
1.6214035,,17.343918,1.0073507,0.43937182,2020,0.11,0.032368742,-0.15036824,19.12953,1.8867246,40.61122703552246,17.343918,16.663465,-0.3843791,,101,-0.23232323,16.663465,0.77806973,17.343918,16.024778
0.61721504,,17.343918,1.0023102,0.44180012,2040,0.11,0.026857179,0.6530237,19.12953,1.870464,41.077088356018066,17.343918,16.563732,-0.067848384,,102,-0.23232323,16.563732,0.7769095,14.3183565,16.008049
1.0918627,,17.343918,1.0020428,0.4442075,2060,0.11,0.021423008,1.1931394,19.12953,1.8547889,41.4932005405426,17.343918,16.560537,-0.21902114,,103,-0.23232323,16.560537,0.78096735,16.913359,16.01684
1.0487196,,17.343918,1.0013983,0.44659415,2080,0.11,0.016064497,1.2110417,19.12953,1.8396685,41.923622846603394,17.343918,16.55007,-0.20550273,,104,-0.23232323,16.55007,0.78511685,16.8239,16.0246
2.265328,,17.343918,0.9990719,0.30357632,2100,0.11,0.010780075,-0.6881672,19.12953,2.6771567,42.31984901428223,17.343918,16.668291,-0.4199844,,105,-0.25252524,16.668291,0.77109385,17.341593,16.037142
