LQGsigma_higher,IWMin,ReturnStepMax,ReturnLastEpisode,Regret,ReturnMax,LQGmu1_actor,IWMax,DenMISELogFirst,ReturnMin,IWMean,Regret/t,DenMISELogLast,ReturnMean,LQGmu1_higher,Iteration,DenMISEMeanLog,IWLastEpisode,TimestepsSoFar,TimeElapsed,ReturnAbsMax,Delta,Bound,IWFirstEpisode
0.14999999,,0.975632,0.488561,22.10608,0.93145394,0.054351114,6.4074674,-0.7329377,,1.1416973,0.29873073,-0.8377909,0.6663893,0.13131313,74,-0.8879427,6.032312,1480,52.74390435218811,0.93145394,1.1101664e-07,2.9247205,3.9014592
0.14999999,,0.975632,0.5010272,22.570171,0.93145394,-0.6616982,8.009209,-0.6949811,,0.98582023,0.30093563,-0.7317488,0.6641844,-1.0,75,-0.88435495,1.03283285e-10,1500,53.72445511817932,0.93145394,1.0807592e-07,2.92546,9.168496e-10
0.14999999,,0.975632,0.9307941,22.604496,0.93145394,-0.7028869,4.8662066,-0.7082263,,1.0614916,0.2974276,-0.60717833,0.6676924,-0.67676765,76,-0.8812551,4.8564777,1520,54.70711922645569,0.93145394,1.0525054e-07,2.9369314,0.00017190237
0.14999999,,0.975632,0.9300482,22.639565,0.93145394,0.37939614,7.773672,-0.7212962,,0.9214966,0.29402035,-0.54991144,0.67109966,0.47474748,77,-0.87638736,1.902964e-13,1540,55.689066886901855,0.93145394,1.02534514e-07,2.8919983,0.041324873
0.14999999,,0.975632,0.42113248,23.183552,0.93145394,-0.56340325,4.6546793,-0.733663,,1.0638678,0.29722506,-0.99514765,0.66789496,-0.75757575,78,-0.8792484,2.4050362e-12,1560,56.67254900932312,0.93145394,9.9922275e-08,2.8750668,1.3139617e-05
0.14999999,,0.975632,0.930602,23.218075,0.93145394,-0.79279053,5.023875,-0.7464019,,0.9651383,0.29389966,-0.5983724,0.67122036,-0.5151515,79,-0.8751034,4.594295,1580,57.655136823654175,0.93145394,9.74086e-08,2.8851535,0.013465764
0.14999999,,0.975632,0.9290262,23.254166,0.93145394,0.90950173,9.199737,-0.7588102,,1.0552948,0.29067707,-0.5223,0.67444295,0.83838385,80,-0.87131107,9.396699e-26,1600,58.645960330963135,0.93145394,9.49886e-08,2.8258295,1.162074e-06
0.14999999,,0.975632,0.10106189,24.118225,0.93145394,0.19676393,5.959918,-0.7712327,,1.1847047,0.2977559,-1.2057106,0.6673641,0.05050505,81,-0.8752206,6.717767e-07,1620,59.66517996788025,0.93145394,9.265769e-08,2.8174005,5.5020056
0.14999999,,0.975632,0.47172135,24.611622,0.93145394,-0.724218,4.5985556,-0.7177844,,1.048528,0.30014175,-0.8871673,0.66497827,-0.7979798,82,-0.87342864,1.8210063e-09,1640,60.760321617126465,0.93145394,9.041153e-08,2.813129,3.1662762e-06
0.14999999,,0.975632,0.93012595,24.646622,0.93145394,-0.5354019,4.5765495,-0.7299057,,1.0551097,0.29694718,-0.49732292,0.66817284,-0.61616164,83,-0.86850107,3.3737798,1660,61.807183027267456,0.93145394,8.8246054e-08,2.793529,0.0010181038
0.14999999,,0.975632,0.93134576,24.680393,0.93145394,0.26586416,6.963692,-0.7418696,,0.96524155,0.29381418,-0.55812085,0.67130584,0.3131313,84,-0.8643292,5.228934e-07,1680,62.822171211242676,0.93145394,8.6157456e-08,2.7920704,0.68513834
0.14999999,,0.975632,0.45545015,25.190063,0.93145394,-0.06212376,5.502003,-0.7455808,,0.93377703,0.2963537,-0.9163096,0.6687663,-0.21212122,85,-0.8655776,0.04147677,1700,63.83220601081848,0.93145394,8.4142165e-08,2.785984,1.9501332
0.14999999,,0.975632,0.8226157,25.332565,0.93145394,-0.9862637,8.252639,-0.7345933,,0.89302105,0.29456472,-0.6996585,0.6705553,-1.0,86,-0.86459476,1.7360106e-08,1720,64.90763211250305,0.93145394,8.219674e-08,2.7457066,9.538966e-10
0.14999999,,0.975632,0.92438346,25.373299,0.93145394,1.0174302,15.585919,-0.7461541,,1.0747048,0.29164714,-0.71670586,0.6734729,1.0,87,-0.8643646,4.5769028e-38,1740,65.87086200714111,0.93145394,8.031802e-08,2.738485,1.6239547e-09
0.14999999,,0.975632,0.019539867,26.318886,0.93145394,-0.6639531,5.032566,-0.7575828,,0.91646385,0.29907823,-1.4023974,0.6660418,-0.4949495,88,-0.87022036,9.104138e-22,1760,68.27930617332458,0.93145394,7.850298e-08,2.7372766,0.021543117
0.14999999,,0.975632,0.9307624,26.353241,0.93145394,-0.7376862,4.3988385,-0.7686376,,1.098788,0.29610384,-0.5021272,0.6690162,-0.7373737,89,-0.86715543,3.898212,1780,70.06279754638672,0.93145394,7.674878e-08,2.7399673,2.6762416e-05
0.14999999,,0.975632,0.92989236,26.38847,0.93145394,-0.20315409,5.6132946,-0.7798106,,1.1252327,0.2932052,-0.4674965,0.6719148,-0.05050505,90,-0.86178315,0.00011761951,1800,71.5615131855011,0.93145394,7.505273e-08,2.729752,5.405422
0.14999999,,0.975632,0.91405547,26.439533,0.93145394,0.64244354,8.493174,-0.73253465,,0.92016417,0.29054433,-0.68791115,0.6745757,0.57575756,91,-0.8587098,7.3839124e-06,1820,73.37625122070312,0.93145394,7.3412274e-08,2.7125125,0.004059073
