ReturnMean,GridSize,LQGmu1_higher,Bound,IWMax,TimeElapsed,Iteration,IWMin,ReturnLastEpisode,Delta,LQGsigma_higher,IWLastEpisode,IWFirstEpisode,DenMISELogFirst,DenMISELogLast,TimestepsSoFar,ReturnAbsMax,Regret,Regret/t,ReturnMin,IWMean,LQGmu1_actor,ReturnMax,ReturnStepMax,DenMISEMeanLog
0.7315315,10,0.11111111,4.021393,11.389872,28.575870752334595,85,,0.95579094,8.414217e-07,0.069483444,,,-1.9868226,0.17053092,1700,0.95648247,19.855022,0.23358852,,1.1818837,0.1277391,0.95648247,0.9994784,-0.98138213
0.734056,10,1.0,3.9767635,22.927052,29.018853902816772,86,,0.948633,8.2196743e-07,1.0,0.29053667,2.9286556,-1.9985186,-0.06333273,1720,0.95648247,19.871506,0.23106402,,0.9890451,3.2081165,0.95648247,0.9994784,-0.9691407
0.7264401,10,-1.0,3.9447296,11.648424,29.403566360473633,87,,0.07147812,8.031802e-07,0.044551425,,,-1.9765923,-6.633102,1740,0.95648247,20.765152,0.23867995,,0.9468082,-0.9899158,0.95648247,0.9994784,-1.0347533
0.7290466,10,-0.7777778,3.944292,28.200184,29.74309206008911,88,,0.9558053,7.850298e-07,0.01831564,1.3797263e-28,,-1.988021,0.15623724,1760,0.95648247,20.774467,0.23607343,,0.7806089,-0.76582915,0.95648247,0.9994784,-1.0222777
0.73159736,10,-0.7777778,3.9769301,14.60848,30.08737349510193,89,,0.95606816,7.674879e-07,0.0285655,14.330508,,-1.9993205,-0.11325663,1780,0.95648247,20.783516,0.23352265,,0.91183203,-0.78204054,0.95648247,0.9994784,-1.0153607
0.7340909,10,-0.11111111,3.9447691,13.912195,30.436877250671387,90,,0.956021,7.5052725e-07,0.044551425,,,-2.0104938,0.12387995,1800,0.95648247,20.792618,0.2310291,,0.90639937,-0.09479414,0.95648247,0.9994784,-1.0042944
0.7365238,10,-0.5555556,3.9424698,15.328794,30.812108755111694,91,,0.9554816,7.341228e-07,0.0285655,,,-2.0215437,-0.17729652,1820,0.95648247,20.802254,0.22859621,,0.8352413,-0.5941576,0.95648247,0.9994784,-0.9967606
0.73891264,10,-0.7777778,3.9252298,12.639608,31.15964651107788,92,,0.95629907,7.182504e-07,0.044551425,0.0038723708,,-2.0324728,-0.7474597,1840,0.95648247,20.811073,0.22620738,,0.9808537,-0.77991235,0.95648247,0.9994784,-0.9964239
0.7412487,10,0.33333334,3.9201837,19.982042,31.53412699699402,93,,0.9561686,7.028872e-07,0.0285655,,,-2.0432837,0.18542902,1860,0.95648247,20.82003,0.22387129,,1.116929,0.3648732,0.95648247,0.9994784,-0.98437893
0.73947394,10,0.33333334,3.906505,14.667646,31.939717769622803,94,,0.5744176,6.880116e-07,0.044551425,13.983519,,-2.053979,-0.6962982,1880,0.95648247,21.210732,0.22564608,,1.2179737,0.3403207,0.95648247,0.9994784,-0.98097205
0.7385231,10,-1.0,3.8969736,13.830959,32.34144353866577,95,,0.64914834,6.736034e-07,0.069483444,,,-2.0645611,-0.10640177,1900,0.95648247,21.526703,0.22659689,,1.0222607,-1.0581039,0.95648247,0.9994784,-0.9701946
0.74078673,10,0.5555556,3.8767061,21.051605,32.77754878997803,96,,0.9558288,6.5964315e-07,0.0285655,,,-2.0750325,-1.0472693,1920,0.95648247,21.535995,0.22433329,,1.2415076,0.53496784,0.95648247,0.9994784,-0.9711563
0.7382744,10,-1.0,3.8750472,12.9388275,33.22663140296936,97,,0.4970936,6.461123e-07,0.10836801,,,-2.085395,-0.47856468,1940,0.95648247,22.00402,0.22684562,,1.152762,-0.94201165,0.95648247,0.9994784,-0.96470624
0.740495,10,0.7777778,3.8552418,12.145755,33.65270972251892,98,,0.9558968,6.329936e-07,0.1690133,1.908411e-22,3.1049945,-2.0956516,-0.9006392,1960,0.95648247,22.013252,0.22462499,,0.9228943,0.9394919,0.95648247,0.9994784,-0.96287024
