IWMin,LQGmu1_actor,LQGmu1_higher,Bound,ReturnStepMax,IWMax,TimestepsSoFar,ReturnMean,DenMISELogFirst,TimeElapsed,ReturnLastEpisode,ReturnMax,IWMean,DenMISELogLast,delta,ReturnMin,IWLastEpisode,LQGsigma_higher,ReturnAbsMax,IWFirstEpisode,Iteration,DenMISEMeanLog
,-0.22386864,-0.23232323,563.8967,19.19869,29.031301,1700,11.278642,-0.89189416,2851.7884171009064,17.362593,17.410385,0.95617884,-0.6632838,8.4142165e-08,,,0.03640201,17.410385,0.2436332,85,-0.70399725
,0.34859195,0.37373737,559.9255,19.19869,32.46861,1720,11.344219,-0.900728,2885.9930288791656,16.918297,17.410385,1.1814903,-0.639011,8.219674e-08,,,0.034960534,17.410385,,86,-0.70471555
,0.65971637,0.6969697,559.66925,19.19869,23.39236,1740,11.30576,-0.91228884,2920.5925278663635,7.998289,17.410385,0.9014342,-0.726905,8.031802e-08,,7.758896e-14,0.042787246,17.410385,,87,-0.7042777
,-0.9145998,-1.0,558.75385,19.19869,12.744855,1760,11.235719,-0.92371756,2954.538929462433,5.142074,17.410385,0.67849165,-0.85807097,7.850298e-08,,,0.059114277,17.410385,,88,-0.7078442
,-0.83352166,-0.83838385,541.7176,19.19869,14.054249,1780,11.303592,-0.93501705,2990.2375836372375,17.276463,17.410385,1.098308,-0.75257146,7.674878e-08,,5.846181,0.05452527,17.410385,4.5068924e-37,89,-0.71228206
,0.23250306,0.17171717,538.6403,19.19869,31.457623,1800,11.370402,-0.9461904,3023.6549229621887,17.316536,17.410385,1.0910516,-0.5224423,7.505273e-08,,,0.037902914,17.410385,3.2006275e-12,90,-0.70963
,0.8333451,0.8787879,526.9492,19.19869,15.135092,1820,11.3400955,-0.9572402,3059.342918395996,8.612476,17.410385,1.1811997,-0.9343325,7.3412274e-08,,1.2981525e-27,0.056773428,17.410385,,91,-0.71214783
,-0.15967214,-0.15151516,526.6107,19.19869,22.020489,1840,11.24707,-0.9681693,3094.8072509765625,2.7817986,17.410385,0.9805789,-0.6470485,7.182504e-08,,,0.039465707,17.410385,19.638317,92,-0.71007735
,-0.39859015,-0.43434343,523.0849,19.19869,20.246864,1860,11.303861,-0.78550446,3129.3990621566772,16.528492,17.410385,0.9189033,-0.6431415,7.028872e-08,,9.49492e-08,0.044551425,17.410385,3.4163786e-10,93,-0.71039253
,0.4553659,0.4949495,520.04724,19.19869,22.75832,1880,11.368024,-0.79619974,3164.2542164325714,17.33533,17.410385,1.0085481,-0.64146143,6.880116e-08,,,0.044551425,17.410385,,94,-0.71123415
,-0.09094357,-0.05050505,511.86383,19.19869,23.962528,1900,11.3243265,-0.8067819,3197.7829456329346,7.2167296,17.410385,1.0247164,-0.6444255,6.736033e-08,,7.8744956e-30,0.042787246,17.410385,5.4312553,95,-0.71126837
,-0.26795107,-0.3131313,511.01743,19.19869,23.22582,1920,11.36922,-0.7616565,3230.516283273697,15.634083,17.410385,0.96930695,-0.5990126,6.5964315e-08,,0.00016328963,0.046388343,17.410385,0.0033890512,96,-0.71068305
,-0.68792194,-0.6969697,509.25415,19.19869,14.687334,1940,11.428332,-0.77198404,3264.5641870498657,17.103086,17.410385,1.0206501,-0.6221965,6.461123e-08,,5.2135544e-12,0.056773428,17.410385,6.4932184e-22,97,-0.7107156
,0.611725,0.61616164,502.61996,19.19869,17.060644,1960,11.488927,-0.7822405,3300.380528688431,17.366547,17.410385,1.0203518,-0.5986734,6.329935e-08,,,0.052366152,17.410385,,98,-0.7098202
,0.2350296,0.25252524,500.70322,19.19869,22.710482,1980,11.430428,-0.79239285,3335.5124838352203,5.697624,17.410385,0.9057622,-0.6789874,6.2027055e-08,,1.3527174e-13,0.044551425,17.410385,1.1309897e-14,99,-0.7098773
,0.89999104,1.0,497.65396,19.19869,11.683525,2000,11.402142,-0.8024432,3368.9303114414215,8.601722,17.410385,0.65667176,-0.838769,6.079271e-08,,6.7489875e-24,0.07234835,17.410385,,100,-0.71273744
,-0.45382595,-0.53535354,494.35342,19.19869,17.20341,2020,11.306377,-0.81239355,3403.78387594223,1.730031,17.410385,0.8819788,-0.60228896,5.9594853e-08,,,0.05452527,17.410385,4.5835154e-12,101,-0.7152456
,0.37981915,0.37373737,489.75552,19.19869,19.445541,2040,11.365372,-0.82224584,3439.827917098999,17.323832,17.410385,1.0544565,-0.62395877,5.8432047e-08,,,0.05029252,17.410385,1.8420081e-20,102,-0.71592945
,0.061815582,0.05050505,489.8208,19.19869,22.426779,2060,11.33067,-0.83200204,3475.3244168758392,7.791192,17.410385,0.909114,-0.7654947,5.7302962e-08,,2.1058419e-10,0.046388343,17.410385,0.021712072,103,-0.71645105
,0.63652414,0.7373737,488.96878,19.19869,14.79399,2080,11.308931,-0.84145314,3508.478355884552,9.069862,17.410385,0.9750203,-0.8040432,5.6206275e-08,,6.5938665e-28,0.059114277,17.410385,,104,-0.7186932
,-0.8444276,-0.8989899,485.55664,19.19869,12.177926,2100,11.252808,-0.8510226,3544.193942785263,5.415785,17.410385,1.0644182,-0.57230276,5.5140777e-08,,,0.075331375,17.410385,8.2663245e-23,105,-0.7179052
,-0.26893148,-0.21212122,475.96182,19.19869,17.364847,2120,11.309992,-0.8605013,3579.6074907779694,17.31439,17.410385,1.046029,-0.6564789,5.4105296e-08,,3.2149256e-31,0.052366152,17.410385,3.9291232,106,-0.7170305
,0.14881761,0.15151516,458.8631,19.19869,17.047724,2140,11.364175,-0.83349437,3613.440003633499,17.107506,17.410385,1.0397637,-0.641732,5.3098706e-08,,1.703742e-12,0.05452527,17.410385,6.4930515e-05,107,-0.7163438
,-0.4061974,-0.3939394,455.90033,19.19869,14.186243,2160,11.341386,-0.8427962,3649.0804743766785,8.903015,17.410385,0.9560149,-0.60338813,5.2119947e-08,,1.54635e-16,0.06155164,17.410385,0.00079378823,108,-0.7153849
,0.5782469,0.5151515,446.85324,19.19869,13.570211,2180,11.396315,-0.8520054,3684.3709614276886,17.328556,17.410385,0.9296703,-0.6731964,5.116801e-08,,,0.06408951,17.410385,6.127243e-21,109,-0.7157526
,0.0033622682,-0.09090909,445.6816,19.19869,14.805201,2200,11.347806,-0.8611379,3716.6687293052673,6.060335,17.410385,0.9861647,-0.5986705,5.024191e-08,,1.8404214e-27,0.059114277,17.410385,14.057688,110,-0.7156103
,0.7503053,0.8181818,443.46603,19.19869,11.213387,2220,11.331045,-0.7499215,3750.5190455913544,9.487366,17.410385,1.0692179,-1.012481,4.9340724e-08,,5.163451e-23,0.078437395,17.410385,8.267805e-31,111,-0.7187804
