LQGmu1_actor,LQGmu1_higher,ReturnStepMax,Bound,Regret,ReturnMin,TimeElapsed,ReturnMax,Iteration,IWLastEpisode,Regret/t,DenMISELogLast,ReturnMean,IWMax,IWMean,LQGsigma_higher,ReturnAbsMax,TimestepsSoFar,DenMISEMeanLog,IWFirstEpisode,delta,DenMISELogFirst,IWMin,ReturnLastEpisode
-0.008700216,-0.030303031,19.20262,51.499634,400.37634,,52.01607871055603,17.41444,87,0.0014156805,4.602027,-0.49111766,12.747973,6.4511275,0.88278985,0.14999999,17.41444,1740,-0.8562529,3.8702044,8.031802e-08,-0.7571238,,17.400156
-0.3356099,-0.35353535,19.20262,50.929604,407.02856,,52.77200651168823,17.41444,88,0.44503772,4.6253242,-0.85469514,12.724676,4.897713,0.96493816,0.14999999,17.41444,1760,-0.8577465,2.4180663,7.850298e-08,-0.7250285,,10.697713
0.78034705,1.0,19.20262,50.921894,407.2323,,53.58929181098938,17.41444,89,2.8882113e-17,4.5756435,-0.57971156,12.774357,16.332129,1.2093437,0.14999999,17.41444,1780,-0.8551658,5.1855455e-13,7.674878e-08,-0.70922077,,17.146362
-0.78166187,-1.0,19.20262,50.72095,421.02173,,54.35437536239624,17.41444,90,2.2962468e-30,4.6780195,-1.2119011,12.671981,7.7364764,0.9781622,0.14999999,17.41444,1800,-0.8576514,8.929768e-07,7.505273e-08,-0.7203941,,3.5604517
-0.83519053,-0.6969697,19.20262,51.112564,421.00806,,55.17103838920593,17.41444,91,3.6624224,4.626463,-0.4793382,12.723537,4.3668194,1.0937768,0.14999999,17.41444,1820,-0.8539482,0.009427089,7.3412274e-08,-0.7314439,,17.363749
-0.012860343,0.1919192,19.20262,50.729347,421.04028,,55.79177284240723,17.41444,92,2.7761457e-10,4.5765247,-0.46046636,12.773476,7.4435763,0.9303403,0.14999999,17.41444,1840,-0.8487979,0.3485903,7.182504e-08,-0.7422694,,17.317867
-0.07057758,-0.13131313,19.20262,50.555603,426.08252,,56.19361996650696,17.41444,93,4.664541,4.5815325,-0.8736093,12.768468,5.657691,0.9494247,0.14999999,17.41444,1860,-0.8500037,5.514308,7.028872e-08,-0.74929845,,12.307726
-0.8678376,-0.8181818,19.20262,50.509956,428.21765,,56.74402952194214,17.41444,94,2.3463093e-05,4.5555067,-0.7820094,12.794494,4.2811575,1.1253577,0.14999999,17.41444,1880,-0.84996676,0.0003689424,6.880116e-08,-0.70239145,,15.214901
0.7177943,0.6969697,19.20262,50.275913,428.25598,,57.43866276741028,17.41444,95,9.89432e-24,4.5079584,-0.46555778,12.842042,9.073234,0.8796089,0.14999999,17.41444,1900,-0.84475225,4.2014824e-07,6.736033e-08,-0.7129696,,17.311539
0.48587278,0.43434343,19.20262,49.994446,441.19238,,58.198039293289185,17.41444,96,1.4157286,4.5957537,-1.1548944,12.754247,7.6905174,1.1260514,0.14999999,17.41444,1920,-0.8494542,0.0020588122,6.5964315e-08,-0.7234409,,4.413675
-0.8814734,-0.83838385,19.20262,49.702274,451.58704,,59.01881790161133,17.41444,97,8.670102e-17,4.6555357,-1.0078838,12.694465,4.2651987,1.1235769,0.14999999,17.41444,1940,-0.85007846,0.00020919568,6.461123e-08,-0.73378223,,6.955296
-0.091223374,-0.2929293,19.20262,49.617447,451.63672,,59.7804639339447,17.41444,98,0.001922334,4.6085377,-0.46503127,12.741463,5.085775,0.96741223,0.14999999,17.41444,1960,-0.8450319,3.8108509,6.329935e-08,-0.7440366,,17.300428
-0.023207683,-0.01010101,19.20262,50.02118,454.0005,,60.54429244995117,17.41444,99,5.064556,4.585864,-0.7903258,12.764136,6.4598827,0.998091,0.14999999,17.41444,1980,-0.84494144,3.2721074,6.2027055e-08,-0.7160398,,14.9861145
-0.76945,-0.53535354,19.20262,49.078453,459.5271,,61.31604266166687,17.41444,100,0.017638747,4.595271,-0.8129049,12.754729,4.8089848,0.9286764,0.14999999,17.41444,2000,-0.8448222,0.23797065,6.079271e-08,-0.69357294,,11.823382
