TimestepsSoFar,ReturnMin,SqrtESSClassic,MISE,IWFirstEpisode,DenMISEMeanLog,ReturnStepMax,ReturnAbsMax,IWLastEpisode,ExplorationBonus,DenMISELogFirst,Iteration,IWMin,ReturnMax,ReturnMean,ReturnLastEpisode,LQGmu01,TimeElapsed,LQGmu1,URet,DenMISELogLast,Bound,IWMax,LQGsigma,target_sum_log_mean,IWMean,IWNorm1,IWNorm2
1260,,7.9367375,15.905669,1.0029033,16.164629,0.9999598,16.503777,1.007355,4.158831,18.800615,63,,16.503777,15.848409,15.517818,-0.011110653,7.559776782989502,-0.110656105,17.20889422613719,20.193335,20.0645,1.0139562,0.11,16.168047,1.0034914,63.219955,7.965484
1280,,7.999503,15.905624,1.0028574,16.16412,0.9999598,16.503777,1.0077469,4.1262,18.800661,64,,16.503777,15.848254,15.83852,-0.011110653,7.733438730239868,-0.110656105,17.537243252091795,16.128777,20.031824,1.0137358,0.11,16.167553,1.0035021,64.22414,8.028516
1300,,8.061778,15.90683,1.0028135,16.187323,0.9999598,16.503777,1.0064523,4.0943265,18.800705,65,,16.503777,15.849662,15.939729,-0.011110653,7.909115552902222,-0.110656105,17.640910877854544,17.668869,20.001156,1.0135212,0.11,16.190748,1.0034924,65.227005,8.090896
1320,,8.123565,15.902906,1.0027714,16.153934,0.9999598,16.503777,0.99002695,4.063186,18.800747,66,,16.503777,15.849883,15.8643265,-0.011110653,8.087684392929077,-0.110656105,17.577480095450902,13.980079,19.966093,1.0133134,0.11,16.157104,1.0032341,66.213455,8.150788
1340,,8.184895,15.906392,1.0027293,16.084536,0.9999598,16.503777,1.0086855,4.03274,18.800789,67,,16.503777,15.852889,16.051308,-0.011110653,8.266746044158936,-0.110656105,17.7705560465069,11.501187,19.939133,1.0131124,0.11,16.087742,1.0032662,67.218834,8.212547
1360,,8.245761,15.898419,1.0026891,16.005606,0.9999598,16.503777,0.9922246,4.002972,18.800829,68,,16.503777,15.848283,15.539594,-0.011110653,8.447850465774536,-0.110656105,17.187588803033517,10.713998,19.901392,1.0129173,0.11,16.0086,1.0030546,68.20772,8.2718525
1380,,8.30619,15.893011,1.0026509,16.06923,0.9999598,16.503777,1.0004293,3.9738503,18.800867,69,,16.503777,15.844249,15.569889,-0.011110653,8.633380889892578,-0.110656105,17.24950698284631,20.392595,19.866861,1.012727,0.11,16.072144,1.0029714,69.205025,8.331741
1400,,8.366178,15.892881,1.0026127,16.01827,0.9999598,16.503777,1.0116073,3.9453564,18.800905,70,,16.503777,15.842911,15.750717,-0.011110653,8.821826934814453,-0.110656105,17.459540465147423,12.499211,19.838238,1.0125434,0.11,16.021267,1.0030514,70.2136,8.392554
1420,,8.425741,15.890708,1.0025764,15.990779,0.9999598,16.503777,1.0047127,3.9174657,18.800941,71,,16.503777,15.841116,15.71541,-0.011110653,9.020995855331421,-0.110656105,17.412506840760976,14.063354,19.808174,1.0123649,0.11,15.993755,1.0030309,71.215195,8.452099
1440,,8.484886,15.895667,1.00254,15.968994,0.9999598,16.503777,1.0076807,3.8901587,18.800978,72,,16.503777,15.84574,16.174122,-0.011110653,9.21192741394043,-0.110656105,17.89092947307386,14.419272,19.785826,1.0121901,0.11,15.971995,1.0030526,72.21979,8.51158
1460,,8.543618,15.900481,1.0025055,15.952242,0.9999598,16.503777,1.011369,3.8634162,18.801012,73,,16.503777,15.849425,16.114662,-0.011110653,9.404766321182251,-0.110656105,17.840014913242804,14.743053,19.763897,1.0120212,0.11,15.955316,1.0031239,73.22804,8.571081
1480,,8.601951,15.893555,1.0024712,15.970059,0.9999598,16.503777,1.0002861,3.837217,18.801046,74,,16.503777,15.843829,15.435408,-0.011110653,9.599979162216187,-0.110656105,17.117558005427775,17.26768,19.730772,1.0118572,0.11,15.973052,1.0030425,74.22514,8.628874
1500,,8.65989,15.892228,1.0024387,15.997992,0.9999598,16.503777,1.0034257,3.811544,18.801079,75,,16.503777,15.843119,15.790503,-0.011110653,9.808108806610107,-0.110656105,17.47592610868098,18.06197,19.703772,1.0116969,0.11,16.00095,1.0030063,75.22547,8.686654
1520,,8.717444,15.888486,1.0024061,15.986961,0.9999598,16.503777,0.9967466,3.7863796,18.801111,76,,16.503777,15.8413515,15.708797,-0.011110653,10.010440587997437,-0.110656105,17.407201576310722,15.1566925,19.674866,1.0115416,0.11,15.9897995,1.0028837,76.21916,8.743292
1540,,8.77462,15.88006,1.0023737,16.027313,0.9999598,16.503777,0.99703085,3.7617073,18.801144,77,,16.503777,15.834752,15.333149,-0.011110653,10.210925817489624,-0.110656105,17.001370422092766,19.091284,19.641768,1.0113902,0.11,16.030039,1.0027696,77.21326,8.799613
1560,,8.831428,15.876516,1.002345,16.036665,0.9999598,16.503777,1.0007976,3.7375107,18.801172,78,,16.503777,15.832219,15.637195,-0.011110653,10.413540601730347,-0.110656105,17.320296089253883,16.753866,19.614027,1.0112417,0.11,16.039328,1.0027082,78.21124,8.856013
1580,,8.88787,15.87232,1.0023143,16.103283,0.9999598,16.503777,0.9995042,3.7137756,18.801203,79,,16.503777,15.829251,15.597792,-0.011110653,10.61932921409607,-0.110656105,17.295295452185268,21.29691,19.586096,1.011098,0.11,16.105873,1.0026327,79.207985,8.91192
1600,,8.943957,15.868124,1.0022857,16.061563,0.9999598,16.503777,1.001806,3.6904864,18.801231,80,,16.503777,15.82579,15.552293,-0.011110653,10.829997062683105,-0.110656105,17.22883880791692,12.7631,19.55861,1.0109582,0.11,16.064114,1.002589,80.20712,8.967744
1620,,8.999694,15.866525,1.002257,16.016502,0.9999598,16.503777,0.99939555,3.6676307,18.80126,81,,16.503777,15.825358,15.790909,-0.011110653,11.045689582824707,-0.110656105,17.502234023739977,12.409035,19.534155,1.0108213,0.11,16.018982,1.002517,81.20387,9.02296
1640,,9.055088,15.864948,1.0022303,16.063578,0.9999598,16.503777,0.99907345,3.645194,18.801287,82,,16.503777,15.824973,15.793812,-0.011110653,11.253361701965332,-0.110656105,17.49574758444676,19.874191,19.510143,1.0106874,0.11,16.065983,1.0024438,82.20039,9.077813
1660,,9.110146,15.861664,1.0022035,16.080332,0.9999598,16.503777,1.0030679,3.6231642,18.801313,83,,16.503777,15.822083,15.585061,-0.011110653,11.472974061965942,-0.110656105,17.27466639545707,17.451908,19.484829,1.0105572,0.11,16.08272,1.0024215,83.20098,9.132783
1680,,9.164871,15.862483,1.0021768,16.027813,0.9999598,16.503777,1.0024998,3.6015294,18.80134,84,,16.503777,15.823378,15.9307575,-0.011110653,11.687533140182495,-0.110656105,17.651748566909642,11.666306,19.464012,1.0104309,0.11,16.030172,1.0023931,84.20102,9.187366
1700,,9.219265,15.851387,1.0021499,16.031002,0.9999598,16.503777,0.99178845,3.5802803,18.801367,85,,16.503777,15.814666,15.082811,-0.011110653,11.90475082397461,-0.110656105,16.726261145670694,16.296566,19.431667,1.0103067,0.11,16.033209,1.0022396,85.19037,9.240473
1720,,9.273333,15.84685,1.0021251,16.007593,0.9999598,16.503777,0.9857836,3.5594058,18.801392,86,,16.503777,15.813593,15.722361,-0.011110653,12.130618810653687,-0.110656105,17.40831343572345,14.015608,19.406256,1.0101852,0.11,16.009583,1.0020217,86.17387,9.292653
1740,,9.327098,15.84221,1.0021023,16.001797,0.9999598,16.503777,0.99334556,3.538888,18.801414,87,,16.503777,15.810913,15.580554,-0.011110653,12.353706359863281,-0.110656105,17.247587951491365,15.501099,19.381098,1.0100667,0.11,16.003662,1.0018983,87.16515,9.345367
1760,,9.380558,15.846269,1.0020773,16.029194,0.9999598,16.503777,1.0038583,3.5187197,18.80144,88,,16.503777,15.8149805,16.168886,-0.011110653,12.59508752822876,-0.110656105,17.89589357634045,18.411139,19.364988,1.0099512,0.11,16.031063,1.0018986,88.16708,9.398917
1780,,9.433714,15.848577,1.0020545,16.032032,0.9999598,16.503777,1.0069227,3.4988928,18.801462,89,,16.503777,15.816756,15.9729595,-0.011110653,12.8436439037323,-0.110656105,17.675576676991525,16.279848,19.34747,1.0098385,0.11,16.033936,1.0019332,89.17206,9.452487
