Iteration,Delta,ReturnAbsMax,ReturnMin,LQGmu1_actor,ReturnMax,Bound,Regret/t,DenMISELogLast,LQGsigma_higher,ReturnMean,IWMin,Regret,IWMax,IWMean,ReturnStepMax,DenMISELogFirst,DenMISEMeanLog,ReturnLastEpisode,TimeElapsed,IWFirstEpisode,LQGmu1_higher,IWLastEpisode,TimestepsSoFar
86,8.219674e-08,17.42613,,-0.43927705,17.42613,51.707726,4.501214,-0.59075177,0.14999999,12.898786,,387.1045,4.4873643,1.0451728,19.214323,-0.6029697,-0.8490867,17.182232,80.96502900123596,1.2443813,-0.5555556,1.5552235,1720
87,8.031802e-08,17.42613,,0.84570867,17.42613,51.63567,4.449683,-0.52535206,0.14999999,12.950316,,387.12244,7.958628,1.1653198,19.214323,-0.60016465,-0.84499526,17.38196,83.89986371994019,6.313362e-08,0.5959596,2.0411144e-10,1740
88,7.850298e-08,17.42613,,-1.1367913,17.42613,51.508728,4.567383,-1.2463847,0.14999999,12.832617,,401.9297,6.8753505,1.0465947,19.214323,-0.61159337,-0.8480678,2.5927944,86.84883546829224,0.00011698455,-1.0,1.2264963e-32,1760
89,7.674878e-08,17.42613,,-0.509948,17.42613,51.50158,4.5183325,-1.2770984,0.14999999,12.881667,,402.1316,4.822657,1.0415009,19.214323,-0.6228916,-0.8526301,17.198143,89.77960634231567,4.7345004,-0.35353535,1.1446444e-05,1780
90,7.505273e-08,17.42613,,1.1199472,17.42613,51.431217,4.468334,-0.50604993,0.14999999,12.931665,,402.15015,16.49376,0.9183548,19.214323,-0.582235,-0.84848666,17.381523,92.69653534889221,1.4711031e-16,1.0,4.374099e-22,1800
91,7.3412274e-08,17.42613,,-0.6471908,17.42613,50.867096,4.610441,-1.934881,0.14999999,12.789558,,419.55017,4.576471,1.0187452,19.214323,-0.5932848,-0.8618271,,95.61189317703247,0.0538671,-0.75757575,1.7559024e-33,1820
92,7.182504e-08,17.42613,,-0.73945916,17.42613,50.98529,4.5602436,-0.49943894,0.14999999,12.839756,,419.54236,4.451046,1.0764058,19.214323,-0.6036221,-0.8578209,17.407688,98.53370761871338,1.8732302,-0.5151515,2.9748383,1840
93,7.028872e-08,17.42613,,-0.016123448,17.42613,50.575687,4.511569,-0.49862728,0.14999999,12.888431,,419.57593,6.8636637,0.91992646,19.214323,-0.5942763,-0.85327196,17.366394,101.46061658859253,0.5089861,0.01010101,1.6559768e-05,1860
94,6.880116e-08,17.42613,,-0.9533736,17.42613,50.49328,4.5336485,-0.8646987,0.14999999,12.866351,,426.16296,6.7920256,1.0528579,19.214323,-0.5995136,-0.85444623,10.813121,104.37131953239441,0.00011557996,-1.0,2.8712344e-09,1880
95,6.736033e-08,17.42613,,-0.77276796,17.42613,50.2696,4.48759,-0.5835522,0.14999999,12.91241,,426.32104,4.397719,1.0756595,19.214323,-0.6100944,-0.8512729,17.24189,107.30351185798645,0.16949828,-0.6969697,1.1060315,1900
