IWFirstEpisode,InvPendulum_std3_higher,ReturnLastEpisode,MinEpLen,IWMean,DenMISEMeanLog,Iteration,ReturnMean,InvPendulum_mu0_higher,InvPendulum_mu2_higher,InvPendulum_std1_higher,BoundMISE,Bound,Regret/t,DenMISELogLast,ReturnAbsMax,IWLastEpisode,TimestepsSoFar,TimeElapsed,IWMin,AvgEpLen,IWMax,Regret,NumTrainableParams,GridSize,BoundBonus,InvPendulum_std2_higher,ReturnMin,NumTrajectories,Delta,InvPendulum_mu1_higher,DenMISELogFirst,ActionIn1,InvPendulum_mu3_higher,InvPendulum_std0_higher,ReturnMax
,0.0009999999,-108.647545,12,,18.195705,62,-151.41534,,-0.2,0.0009999999,,inf,156.41534,14.100658,499.97495,,4378,31.405071258544922,,70.61290322580645,,9697.751,,81,inf,0.0009999999,-499.97495,62,3.8573074e-07,,19.22462,-0.20003664,,0.0009999999,-96.95007
,0.0009999999,-116.71502,12,,18.173859,63,-150.86453,,-0.2,0.0009999999,,inf,155.86453,17.81132,499.97495,,4403,32.024118423461914,,69.88888888888889,,9819.466,,81,inf,0.0009999999,-499.97495,63,3.735825e-07,,19.20862,-0.0029980987,0.2,0.0009999999,-96.95007
,0.0009999999,-116.636,12,,18.15118,64,-150.32971,,,0.0009999999,,inf,155.32971,17.714506,499.97495,,4424,32.63020372390747,,69.125,,9941.102,,81,inf,0.0009999999,-499.97495,64,3.6199927e-07,,19.192873,-0.19804248,-0.2,0.0009999999,-96.95007
,0.0009999999,-105.980995,12,,18.094067,65,-149.64742,,,0.0009999999,,inf,154.64742,15.43107,499.97495,,4454,33.247220277786255,,68.52307692307693,,10052.082,,81,inf,0.0009999999,-499.97495,65,3.5094652e-07,,19.177368,-0.0071409713,,0.0009999999,-96.95007
,0.0009999999,-119.41037,12,,17.997826,66,-149.18927,,,0.0009999999,,inf,154.18927,12.734544,499.97495,,4485,33.85743165016174,,67.95454545454545,,10176.492,,81,inf,0.0009999999,-499.97495,66,3.4039232e-07,,19.1621,0.20611398,0.2,0.0009999999,-96.95007
,0.0009999999,-122.077415,12,,17.909452,67,-148.78464,,0.2,0.0009999999,,inf,153.78464,13.069405,499.97495,,4510,34.44148015975952,,67.31343283582089,,10303.57,,81,inf,0.0009999999,-499.97495,67,3.3030722e-07,,19.147062,-9.2208385e-05,-0.2,0.0009999999,-96.95007
,0.0009999999,-120.56312,12,,17.897615,68,-148.36961,,0.2,0.0009999999,,inf,153.36961,18.097038,499.97495,,4536,35.059422731399536,,66.70588235294117,,10429.134,,81,inf,0.0009999999,-499.97495,68,3.206637e-07,,19.132248,0.20062692,,0.0009999999,-96.95007
,0.0009999999,-120.0366,12,,17.898914,69,-147.95898,,0.2,0.0009999999,,inf,152.95898,18.979918,499.97495,,4560,35.680994272232056,,66.08695652173913,,10554.17,,81,inf,0.0009999999,-499.97495,69,3.1143645e-07,,19.11765,0.39768416,0.2,0.0009999999,-96.95007
,0.0009999999,-112.420166,12,,17.88104,70,-147.45128,0.2,-0.2,0.0009999999,,inf,152.45128,17.640678,499.97495,,4576,36.28935623168945,,65.37142857142857,,10671.59,,81,inf,0.0009999999,-499.97495,70,3.0260182e-07,,19.10326,-0.20077454,-0.2,0.0009999999,-96.95007
,0.0009999999,-105.6601,12,,17.88742,71,-146.86267,0.2,-0.2,0.0009999999,,inf,151.86267,19.32692,499.97495,,4592,36.90111708641052,,64.67605633802818,,10782.25,,81,inf,0.0009999999,-499.97495,71,2.9413786e-07,,19.089075,-0.0033381777,,0.0009999999,-96.95007
